scenario,run,run_id,status,elapsed_ms
1,1,9d6b7e37-d0f3-4312-b115-dd8cb9eb277a,completed,9228
1,2,f5a51e35-681a-4a55-a6e4-b190534394e1,completed,8748
1,3,e8f3c409-cacc-4ddd-8407-4bf742471d7e,completed,10653
1,4,75f61e04-20a2-4801-ba77-8cb77bb77824,completed,13250
1,5,c5e149d1-c081-454f-ad3a-7a445686db48,completed,11172
2,1,b0fec6b6-ed90-48eb-982c-2440075461dd,completed,14332
2,2,64586f64-f4ff-47ad-824a-c1d988ce5a17,completed,17170
2,3,bf582f10-1cad-4fb8-a145-c76fac0dc523,completed,15898
2,4,aa9ed108-ef40-4d24-90eb-a31a3dbf9eb9,completed,17788
2,5,cb8aea76-2021-498d-95cd-8cdc7710a514,completed,15336
3,1,fd7ea565-9306-4005-9b71-fa3c3fb52b78,completed,20588
3,2,4eefea8b-719f-4d49-a1fa-4d8cee2349cd,completed,26660
3,3,ae6d0b93-76a1-49ed-9fac-fe991ee02177,completed,24777
3,4,a09e514d-3b22-413d-adea-cc7766892d11,completed,26394
3,5,6b01790f-795c-4ed1-bbad-af82eac6b5ef,completed,23884
