model,provider,scenario,run_index,data_source,status,elapsed_ms,rows_loaded,quality_severity,transformation_attempts,input_tokens,output_tokens,cost_usd,quality_score,note,stage_orchestrator_s,stage_extractor_s,stage_transformer_s,stage_quality_s,stage_loader_s
gpt-4o-mini,openai,1,1,mock,completed,25845.4,3649,warning,1,0,0,0.0,88.0,"mocked LLM, $0 real cost — plumbing validation only",0.00020716601284220815,0.13499770799535327,14.283525333012221,0.057005458016647026,0.03043712500948459
gpt-4o-mini,openai,1,2,mock,completed,16991.0,3649,warning,1,0,0,0.0,88.0,"mocked LLM, $0 real cost — plumbing validation only",0.00014466600259765983,0.06427404200076126,10.803331125003751,0.02153500000713393,0.019124042009934783
gpt-4o-mini,openai,1,3,mock,completed,9880.4,3649,warning,1,0,0,0.0,88.0,"mocked LLM, $0 real cost — plumbing validation only",0.00030691700521856546,0.014386875001946464,4.732541250006761,0.01680837498861365,0.02402708400040865
gpt-4o-mini,openai,1,4,mock,completed,11046.6,3649,warning,1,0,0,0.0,88.0,"mocked LLM, $0 real cost — plumbing validation only",0.0001499170030001551,0.014951333025237545,5.170279499987373,0.019902374973753467,0.019887208007276058
gpt-4o-mini,openai,1,5,mock,completed,11241.8,3649,warning,1,0,0,0.0,88.0,"mocked LLM, $0 real cost — plumbing validation only",0.00019725001766346395,0.04562591598369181,4.955746666004416,0.018997208011569455,0.017731792002450675
gpt-4o-mini,openai,2,0,skipped_no_infra,skipped,,,,,0,0,,,Postgres unreachable in this sandbox (no Docker daemon) — see module docstring.,,,,,
gpt-4o-mini,openai,3,0,skipped_no_infra,skipped,,,,,0,0,,,Postgres unreachable in this sandbox (no Docker daemon) — see module docstring.,,,,,
gpt-4o-mini,openai,4,0,skipped_no_infra,skipped,,,,,0,0,,,Postgres unreachable in this sandbox (no Docker daemon) — see module docstring.,,,,,
gpt-4o,openai,1,1,mock,completed,11504.3,3649,warning,1,0,0,0.0,88.0,"mocked LLM, $0 real cost — plumbing validation only",0.00015675000031478703,0.37712454100255854,6.058343458978925,0.02641312498599291,0.031001166003989056
gpt-4o,openai,1,2,mock,completed,11801.2,3649,warning,1,0,0,0.0,88.0,"mocked LLM, $0 real cost — plumbing validation only",0.00022937500034458935,0.012594749976415187,5.440928249998251,0.029691167001146823,0.023970500013092533
gpt-4o,openai,1,3,mock,completed,11113.6,3649,warning,1,0,0,0.0,88.0,"mocked LLM, $0 real cost — plumbing validation only",0.0048176659911405295,0.03435095798340626,5.665046167006949,0.03417912498116493,0.020154124998953193
gpt-4o,openai,1,4,mock,completed,11884.4,3649,warning,1,0,0,0.0,88.0,"mocked LLM, $0 real cost — plumbing validation only",0.0001898749906104058,0.02531137500773184,5.206147958000656,0.02170341700548306,0.02542312501464039
gpt-4o,openai,1,5,mock,completed,10104.2,3649,warning,1,0,0,0.0,88.0,"mocked LLM, $0 real cost — plumbing validation only",0.004044917004648596,0.014540542004397139,5.0037503330095205,0.01822166598867625,0.020239332981873304
gpt-4o,openai,2,0,skipped_no_infra,skipped,,,,,0,0,,,Postgres unreachable in this sandbox (no Docker daemon) — see module docstring.,,,,,
gpt-4o,openai,3,0,skipped_no_infra,skipped,,,,,0,0,,,Postgres unreachable in this sandbox (no Docker daemon) — see module docstring.,,,,,
gpt-4o,openai,4,0,skipped_no_infra,skipped,,,,,0,0,,,Postgres unreachable in this sandbox (no Docker daemon) — see module docstring.,,,,,
ollama:llama3.1,ollama,1,1,simulated,completed,12773.2,3649,warning,1,0,0,,88.0,"ollama slot: Ollama unavailable in this sandbox, pipeline mocked for harness parity only",0.00015504099428653717,0.013096832990413532,5.974665458983509,0.01885233400389552,0.01805499999318272
ollama:llama3.1,ollama,1,2,simulated,completed,10712.1,3649,warning,1,0,0,,88.0,"ollama slot: Ollama unavailable in this sandbox, pipeline mocked for harness parity only",0.0045812920143362135,0.015275542013114318,5.005858499993337,0.0253077499801293,0.019525625015376136
ollama:llama3.1,ollama,1,3,simulated,completed,11524.3,3649,warning,1,0,0,,88.0,"ollama slot: Ollama unavailable in this sandbox, pipeline mocked for harness parity only",0.00016820800374262035,0.013544833986088634,4.657047415996203,0.016495666990522295,0.016990750009426847
ollama:llama3.1,ollama,1,4,simulated,completed,12112.9,3649,warning,1,0,0,,88.0,"ollama slot: Ollama unavailable in this sandbox, pipeline mocked for harness parity only",0.004921791987726465,0.045367500017164275,6.229921582998941,0.027194499998586252,0.028324624989181757
ollama:llama3.1,ollama,1,5,simulated,completed,13344.8,3649,warning,1,0,0,,88.0,"ollama slot: Ollama unavailable in this sandbox, pipeline mocked for harness parity only",0.000287750008283183,0.02142566701513715,6.52588262502104,0.018586792022688314,0.020298165996791795
ollama:llama3.1,ollama,2,0,skipped_no_infra,skipped,,,,,0,0,,,Postgres unreachable in this sandbox (no Docker daemon) — see module docstring.,,,,,
ollama:llama3.1,ollama,3,0,skipped_no_infra,skipped,,,,,0,0,,,Postgres unreachable in this sandbox (no Docker daemon) — see module docstring.,,,,,
ollama:llama3.1,ollama,4,0,skipped_no_infra,skipped,,,,,0,0,,,Postgres unreachable in this sandbox (no Docker daemon) — see module docstring.,,,,,
