order_id,customer_id,dt,product,amt,quantity,status,region
1001,204,2024-01-01,Widget A,129.90,3,active,Sudeste
1002,318,2024-01-01,Gadget X,45.50,1,active,Sul
1003,204,2024-01-02,Widget A,129.90,3,active,Sudeste
1004,411,2024-01-02,Tool Z,89.00,2,cancelled,Nordeste
1005,275,2024-01-03,Gadget Y,,5,active,Norte
1006,332,2024-01-03,Widget B,64.20,1,active,Centro-Oeste
1007,180,2024-01-04,Gadget X,45.50,4,active,Sul
1008,204,2024-01-04,Widget A,129.90,3,active,Sudeste
1009,299,2024-01-05,Tool Z,89.00,1,cancelled,Nordeste
1010,411,2024-01-05,Gadget Y,215.00,6,active,Norte
1011,180,2024-01-06,Widget B,64.20,2,active,Sul
1012,,2024-01-06,Widget A,129.90,1,active,Sudeste
1013,332,2024-01-07,Gadget X,45.50,3,active,Centro-Oeste
1014,275,2024-01-07,Tool Z,89.00,2,cancelled,Norte
1015,299,2024-01-08,Widget B,64.20,4,active,Nordeste
1016,411,2024-01-08,Gadget Y,215.00,1,active,Norte
1017,180,2024-01-09,Widget A,129.90,5,active,Sul
1018,332,2024-01-09,Gadget X,45.50,2,active,Centro-Oeste
1019,299,2024-01-10,Tool Z,89.00,3,cancelled,Nordeste
1020,204,2024-01-10,Widget B,64.20,1,active,Sudeste
